AffiliateID,AffiliateName,AffiliateAddress,Website,AffiliateEmail,AffiliatePhone
52,Elmo Herrera,Katihar,Altavista.com,libero.et.tristique@iaculisodioNam.org,(961) 298-9226
34,Scott Valencia,Pitlochry,Borland.com,Curabitur.vel@lorem.co.uk,(876) 204-8801
90,Fallon Maldonado,Vertou,Chami.com,id@Sed.org,(419) 628-5163
24,Orson Randall,Colina,Lavasoft.com,facilisis@Nullatempor.ca,(763) 616-1124
96,Maisie House,Langley,Microsoft.com,ornare.Fusce.mollis@orciluctuset.co.uk,(393) 902-3654
9,Oren Riddle,Avellino,Adobe.com,sed.dui.Fusce@enimEtiamgravida.net,(882) 621-0264
24,Neve Combs,Llanelli,Borland.com,amet.massa.Quisque@nequetellus.org,(731) 851-0029
93,Halla Rose,Port Moody,Finale.com,nunc.sit@egestasSed.com,(756) 267-5416
1,Flynn Levy,Warwick,Finale.com,Aliquam@DuisgravidaPraesent.com,(692) 572-5867
66,Kato Daniel,Garbsen,Lavasoft.com,senectus@posuerecubilia.ca,(655) 160-8444
12,Acton Ramirez,Warszawa,Altavista.com,nec@Ut.com,(551) 132-4056
56,Seth Bernard,Rödermark,Sibelius.com,tristique@Vestibulumaccumsanneque.net,(220) 163-1600
12,Abdul Keith,Völklingen,Google.com,venenatis.lacus@urna.edu,(930) 661-1278
69,Hasad Holloway,Pontypridd,Apple.com,facilisis.Suspendisse@non.ca,(319) 371-9062
64,Ava Pratt,Vaughan,Cakewalk.com,libero@imperdietdictum.net,(405) 556-2828
13,Mechelle Elliott,Colchester,Google.com,dignissim@justonec.org,(874) 802-0166
38,Rhona Fry,Dave,Finale.com,orci@vulputatemauris.co.uk,(461) 602-8928
92,Jolie Abbott,Purranque,Borland.com,In.scelerisque@litoratorquentper.net,(959) 878-6810
76,Dane Higgins,Hannche,Altavista.com,quam@ullamcorperviverraMaecenas.net,(947) 582-0579
61,Tate Marks,Bear,Altavista.com,leo.Cras.vehicula@feugiatLorem.com,(275) 500-5739
80,Wanda Roman,Milford Haven,Google.com,mi@eueratsemper.ca,(259) 528-4882
61,Winter Sharp,Brahmapur,Apple.com,Lorem.ipsum.dolor@semmolestiesodales.co.uk,(560) 241-1073
68,Sara Hendricks,Evansville,Cakewalk.com,nec@infelis.com,(316) 386-5031
49,Hadassah Hampton,Russell,Cakewalk.com,feugiat@Maurisquis.net,(660) 207-1718
59,Candace Green,Pointe-Claire,Yahoo.com,non.sollicitudin.a@mattisIntegereu.com,(148) 357-0194
61,Amaya Hull,Roermond,Chami.com,Duis@SuspendisseduiFusce.net,(277) 659-0890
77,Yuli Powell,Bhatpara,Microsoft.com,Nulla@imperdietnon.com,(329) 717-6994
65,Portia Phelps,Neyveli,Sibelius.com,adipiscing.elit@porttitorvulputateposuere.edu,(170) 483-9205
90,Nathan Salinas,Warszawa,Lycos.com,non.leo.Vivamus@bibendumsed.net,(269) 260-8203
98,Melvin Coffey,Columbus,Adobe.com,adipiscing.elit.Aliquam@libero.org,(717) 509-6510
50,Joseph Holt,Lelystad,Borland.com,molestie.arcu@in.edu,(456) 153-5806
64,Elmo Castro,Caccamo,Lycos.com,sodales.at@arcuVestibulumut.com,(613) 536-1900
86,Zephania Sullivan,Oetingen,Altavista.com,hendrerit.consectetuer.cursus@facilisisfacilisismagna.edu,(861) 353-8448
93,Quemby Davenport,Port Augusta,Sibelius.com,eget.mollis@at.ca,(839) 910-8505
70,Ian Griffin,Galmaarden,Google.com,tellus@atauctor.com,(724) 424-6018
94,Robin Clemons,Bernau,Macromedia.com,molestie.sodales.Mauris@dolor.net,(635) 521-2089
47,Winifred Browning,Gresham,Google.com,fermentum.vel.mauris@Donectempuslorem.ca,(897) 756-1799
72,Noah Meyer,Gaithersburg,Chami.com,fringilla.Donec.feugiat@a.org,(116) 226-2205
7,Hilel Kelly,Kirkby Lonsdale,Microsoft.com,ullamcorper.eu@auctornonfeugiat.net,(269) 468-8230
63,Willa Ford,Knokke,Yahoo.com,orci.tincidunt.adipiscing@porta.co.uk,(638) 974-8813
14,Richard Marshall,Illkirch-Graffenstaden,Finale.com,nibh.Aliquam@at.co.uk,(561) 359-1733
26,Christen Padilla,Bridge of Allan,Cakewalk.com,Curabitur@arcuVestibulum.org,(517) 750-5164
9,Rafael Woodward,Heestert,Sibelius.com,aliquam.eros@aliquetvel.edu,(149) 824-4663
50,Cameron Alford,Jodoigne,Cakewalk.com,Donec@Sed.org,(711) 216-1614
90,Dalton Jarvis,Berwick-upon-Tweed,Lycos.com,convallis.ligula@Nuncacsem.net,(809) 360-0834
42,Vielka Walton,Aurora,Microsoft.com,sit.amet.consectetuer@dapibusligula.edu,(879) 199-1453
11,Basia Barker,Pietrarubbia,Google.com,pede@velit.com,(531) 328-2838
68,Wynter Casey,Montigny-lès-Metz,Lavasoft.com,sollicitudin.commodo@nonummy.com,(295) 702-0426
34,Nash Mckay,Hondelange,Macromedia.com,eu.turpis@antedictumcursus.net,(527) 557-0023
29,Martin Patel,Florenville,Finale.com,sit.amet.nulla@egetvarius.org,(685) 761-1030
38,Felicia Mendoza,Zielona Góra,Macromedia.com,egestas@molestietortornibh.edu,(527) 223-6372
83,Chloe Hester,Buti,Cakewalk.com,Donec.nibh.enim@ipsumprimisin.net,(218) 675-2163
97,Tad Yates,Jolanda di Savoia,Apple.com,dignissim.Maecenas.ornare@nonquam.net,(159) 693-2812
21,Geraldine Nichols,Trivandrum,Apple.com,mi@non.com,(566) 756-7866
91,Debra Cote,Waiheke Island,Google.com,Curae.Donec@erosturpis.net,(319) 362-3875
14,Ariel Lang,Onoz,Yahoo.com,Fusce@Maurismolestie.net,(632) 365-2411
77,Imelda Alexander,Gliwice,Apple.com,pede.sagittis.augue@Etiamligulatortor.net,(183) 323-6545
56,Norman Henderson,Thuin,Chami.com,Nunc.ullamcorper@molestiein.com,(434) 404-3346
28,Alexander Roberson,Melton,Adobe.com,imperdiet@eget.org,(303) 987-3357
56,Jacob Peterson,Ruda,Borland.com,Morbi@quisturpisvitae.ca,(582) 891-8886
70,Henry Monroe,Ercilla,Lycos.com,sed.turpis.nec@InloremDonec.com,(114) 119-3483
88,Dane Petersen,Kaduna,Borland.com,sollicitudin@maurissagittis.com,(274) 487-7081
89,Felicia Johnson,Cicagna,Yahoo.com,suscipit@Nullamvitaediam.org,(315) 338-8070
29,Owen Garcia,Abeokuta,Microsoft.com,velit@eratvolutpatNulla.com,(394) 805-7221
31,Hadassah Carter,Menai Bridge,Apple.com,aliquet@ami.com,(494) 684-5916
93,Fleur Albert,Codó,Lavasoft.com,ultrices.posuere.cubilia@consequatnecmollis.edu,(396) 878-3227
47,Lane Morris,Rugby,Cakewalk.com,magnis@Pellentesqueultriciesdignissim.org,(666) 858-5686
72,Germane Mathis,Ujjain,Cakewalk.com,mi@ullamcorperDuis.net,(749) 358-8847
32,Griffin Mays,Bourlers,Borland.com,odio.tristique@luctus.org,(377) 898-1741
36,Amos Le,Bras,Microsoft.com,magnis.dis@odio.ca,(971) 564-2202
88,Colin Vargas,Lowestoft,Apple.com,risus@massarutrum.com,(661) 116-4802
71,Nicole Pena,Le Cannet,Google.com,metus.Aenean@Cras.com,(398) 414-3777
27,Carlos Walker,Jemeppe-sur-Meuse,Microsoft.com,cubilia@arcuCurabiturut.org,(879) 323-0424
21,Fletcher Weber,North Saanich,Finale.com,aliquam@vestibulum.co.uk,(818) 283-6397
93,Armand Best,Huntley,Chami.com,quis@pedeet.com,(682) 353-2528
7,Claire Winters,Coimbatore,Macromedia.com,odio@Quisque.ca,(938) 567-7705
15,Abdul Roach,Invergordon,Adobe.com,mauris@metusIn.net,(490) 678-3262
72,Devin Middleton,Maria,Macromedia.com,luctus.aliquet.odio@ultricesVivamusrhoncus.org,(544) 888-6013
2,Stella Kirk,Moio Alcantara,Borland.com,fringilla@odioAliquamvulputate.ca,(609) 573-4356
51,Tucker Estes,Dollard-des-Ormeaux,Lycos.com,sed@est.net,(512) 688-8414
53,Kasper Hamilton,Hospet,Apple.com,enim.Nunc@sit.co.uk,(938) 899-1183
34,Tanner Solomon,Ross-on-Wye,Sibelius.com,purus.accumsan@odio.edu,(782) 535-1150
24,Charlotte Horn,Picture Butte,Apple.com,pellentesque@odiosempercursus.org,(569) 727-1664
70,Kevin Mann,Villers-sur-Semois,Sibelius.com,montes.nascetur.ridiculus@mollis.ca,(619) 325-6868
77,Sopoline Bass,Vito d'Asio,Lycos.com,sem.consequat.nec@Naminterdum.org,(866) 670-8216
64,Kirsten Ball,San Sostene,Microsoft.com,dictum@sitametmetus.ca,(775) 131-6534
67,Kirestin Tyler,Morrinsville,Lycos.com,at@nonfeugiatnec.net,(110) 153-3402
17,Juliet Horne,Nerem,Chami.com,interdum@dapibusligulaAliquam.org,(869) 238-0347
93,Yardley Doyle,Alert Bay,Google.com,neque.tellus.imperdiet@cursus.co.uk,(607) 559-7845
46,Karina Wilkins,Sainte-Ode,Sibelius.com,dui.Fusce@auctornon.co.uk,(718) 382-8819
21,Jeanette Cross,Beauport,Microsoft.com,non.dui.nec@neceleifend.ca,(820) 190-0039
