ManagerID,Username,Password,AffiliateID
132,Jeanette Ayala,"dolor sit amet, consectetuer adipiscing",20
193,Dylan Greer,facilisis,2
146,Ronan Blanchard,Vestibulum ut eros non enim,87
144,Imani Kirk,"eu, placerat eget, venenatis",43
133,Naomi Dillon,"eget, dictum placerat, augue. Sed",22
146,Branden Mclean,"mauris ipsum porta elit, a feugiat tellus",83
127,Brennan Mcgowan,"mauris ut mi. Duis risus odio, auctor vitae,",8
165,Plato Patterson,"purus, accumsan interdum libero",18
108,Avram Poole,nec metus facilisis,46
177,Veda Ellis,"pede, nonummy ut,",79
140,April Pacheco,nunc,10
104,Quemby Fields,"iaculis, lacus pede sagittis augue,",3
152,Cadman Byers,"ullamcorper, nisl arcu iaculis enim, sit amet",23
177,Nicole Strickland,magna nec quam. Curabitur vel lectus. Cum,4
143,Rhonda Buchanan,mauris sit amet lorem semper auctor. Mauris,54
127,Igor Vaughan,"dolor dolor, tempus non, lacinia",24
190,Bianca Bryant,"placerat, orci lacus vestibulum lorem, sit amet ultricies sem magna",86
130,Fitzgerald Mccullough,malesuada. Integer id magna et ipsum cursus vestibulum. Mauris magna.,98
165,Deacon Whitehead,"ligula tortor, dictum eu, placerat eget, venenatis",17
148,Devin Craig,non nisi. Aenean eget metus. In nec orci. Donec nibh.,51
143,Breanna Quinn,eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies,44
114,Sade Wagner,"nec,",36
176,Reece Benton,Phasellus,88
179,Brett Campbell,"Etiam laoreet,",76
165,Cade Lee,"aliquet odio. Etiam ligula tortor, dictum eu, placerat eget,",21
148,Jescie Ewing,ridiculus mus.,78
111,Ariana Burt,id magna et,32
179,Mark Houston,Donec sollicitudin adipiscing ligula. Aenean gravida,62
111,Herman Donaldson,hymenaeos. Mauris ut quam vel,92
188,Hayes Horton,primis in faucibus orci luctus et ultrices posuere cubilia,40
141,Ulric Romero,"malesuada vel,",17
200,Deborah Cleveland,arcu. Vestibulum ut eros non enim commodo hendrerit. Donec,80
117,George Ellison,"amet, risus. Donec",31
176,Simon Graves,risus.,17
145,Kylan Mason,tempor erat,50
164,Harlan Whitney,ipsum non arcu. Vivamus sit,9
199,Alan Lancaster,sagittis,38
142,Chancellor Graves,sit amet orci.,7
106,Jeanette Carroll,"in, cursus et, eros. Proin ultrices. Duis",3
192,Leigh Moon,commodo,77
153,Asher Graves,eu elit. Nulla facilisi. Sed neque.,80
151,Jaquelyn Miller,"dolor, nonummy",89
111,Timon Dickerson,"hendrerit consectetuer, cursus et, magna. Praesent interdum ligula eu enim.",73
180,Avye Parker,sapien molestie orci tincidunt adipiscing.,67
150,Leonard Lambert,id risus quis diam luctus lobortis.,30
145,Zia Gallegos,fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque,36
188,Levi Trevino,"sapien, cursus",31
160,Caryn Mcfarland,orci luctus et ultrices,95
118,Walker Dyer,mollis lectus pede et risus. Quisque libero,96
170,Kyle Mcmillan,"scelerisque mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis",18
187,Orson Mclean,dictum cursus.,64
195,Ingrid Jacobson,"massa. Mauris vestibulum, neque sed dictum eleifend, nunc",13
111,Ebony Becker,augue ut,49
133,Carl Kerr,quis diam. Pellentesque habitant,78
177,Macon Becker,erat,54
130,Kirby Shepherd,"eget, dictum placerat, augue. Sed molestie.",45
102,Shoshana Harmon,aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum enim,71
103,Amal Wheeler,nisi. Mauris,81
140,Christopher Wells,egestas. Aliquam nec enim. Nunc ut,39
121,Amelia Witt,consectetuer euismod est arcu ac orci.,55
168,Demetrius Merrill,nunc sed libero. Proin sed turpis nec,87
135,Buckminster Tate,Duis dignissim tempor arcu. Vestibulum ut eros non,79
135,Hector Long,magna. Lorem,27
200,Oleg Mooney,Aenean sed pede nec ante blandit viverra.,78
103,Cara Walker,"In ornare sagittis felis. Donec tempor, est ac mattis semper,",5
139,Latifah Dawson,"arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien,",1
152,Hayfa Caldwell,"ut erat. Sed nunc est,",7
128,Kane Fitzpatrick,"mauris, rhoncus id, mollis nec, cursus a, enim. Suspendisse aliquet,",35
101,Ezekiel Rhodes,"ac, eleifend vitae, erat. Vivamus nisi. Mauris",100
105,Candice Kramer,senectus et netus et malesuada fames ac turpis egestas. Aliquam,59
117,Hoyt Sullivan,Sed,40
157,Christian Witt,"eget laoreet posuere, enim nisl elementum purus, accumsan interdum",17
167,Nathan Wiggins,"pharetra, felis eget varius ultrices, mauris ipsum porta elit,",95
151,Charles Banks,"ac,",52
133,Kermit Terry,adipiscing,43
145,Nicholas Burris,lobortis.,41
143,Dillon Small,et arcu,22
146,Pandora Forbes,ornare. Fusce mollis. Duis sit amet diam eu dolor,37
188,Jameson Lynch,"egestas, urna justo faucibus lectus, a sollicitudin orci sem",96
145,Elmo Whitley,"ut mi. Duis risus odio, auctor vitae, aliquet nec, imperdiet",38
169,Vladimir Mullins,pede.,65
176,Griffith Alford,nascetur,11
104,Seth Griffin,gravida,11
198,Merritt Maldonado,odio sagittis semper. Nam tempor,51
194,Latifah Reese,neque. Sed eget lacus.,100
160,Lee Bates,"nec, euismod in, dolor. Fusce",83
183,Magee Austin,fringilla cursus purus. Nullam scelerisque neque sed,20
153,Brittany Benjamin,in sodales elit erat vitae risus.,99
175,Harding Dominguez,ut eros non enim commodo hendrerit. Donec porttitor tellus non,56
106,Daniel Petersen,tempus,54
112,Blaine Petty,Sed id risus,47
112,Vincent Humphrey,"dictum placerat, augue.",72
140,Rhiannon Leonard,"velit eget laoreet posuere,",4
180,Lawrence Conley,"fringilla mi lacinia mattis. Integer eu lacus. Quisque imperdiet,",43
165,Ivana Hurley,Cras eu,51
133,Emerald Puckett,"et risus. Quisque libero lacus, varius et, euismod",88
122,Diana Perkins,"imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida non,",98
116,Nissim Wallace,"facilisis facilisis, magna tellus faucibus leo, in lobortis",49
179,Evan Green,"dictum eu, eleifend nec,",91
163,Iliana Armstrong,"Maecenas libero est, congue a, aliquet",23
