FamilyID,FamilyName,FamilyEmail,FamilyPhone,ManagerID,Employment,HomeSituation,FamilyContact,ContactMethod,LastContact,AdditionalInfo
246,Fredericka Weber,hendrerit.consectetuer.cursus@urnajustofaucibus.net,(605) 742-3558,197,Unemployed,Own a home,FamilyNameHere,Social Media,2017-09-12,Info
208,Bruno Pennington,orci.lobortis@Aliquamfringilla.co.uk,(705) 977-4634,141,Employed,Own a home,FamilyContactHere,Phone Number,2017-06-02,Additional
280,Carson Webb,tellus.non@sociisnatoque.org,(724) 833-1769,153,Employed,Own a home,FamilyContactHere,Phone Number,2018-03-01,Additional
297,Wing Barr,eleifend@mollisvitae.edu,(983) 435-0011,126,Unemployed,Own a home,,Email,2018-06-03,Goes
244,Omar Wood,placerat.orci@velit.ca,(316) 892-7977,147,Employed,Own a home,FamilyContactHere,Email,2017-11-05,Goes
226,Dora Oneill,volutpat@Mauris.com,(257) 582-6377,146,Self-Employed,Own a home,FamilyNameHere,Social Media,2018-04-10,Here
223,Kennan Barber,Sed.dictum.Proin@ac.ca,(366) 348-5541,102,Unemployed,Own a home,FamilyContactHere,Email,2018-04-19,Info
223,Gabriel Bradshaw,vulputate@temporestac.co.uk,(632) 193-2710,101,Employed,Cuurently in need of shelter,FamilyNameHere,Phone Number,2018-07-12,Info
238,Chantale Terry,viverra.Donec@esttemporbibendum.org,(410) 309-1495,126,Employed,Cuurently in need of shelter,FamilyContactHere,Phone Number,2017-04-07,Goes
280,Felix Tate,felis.Nulla@nisi.com,(145) 213-0073,159,Unemployed,Cuurently in need of shelter,,Social Media,2017-11-01,Here
211,Reece Fitzpatrick,et.arcu.imperdiet@antebibendumullamcorper.ca,(814) 335-4693,143,Unemployed,Own a home,FamilyContactHere,Phone Number,2018-07-31,Here
286,Emerald Mullen,risus.Donec@hendreritconsectetuercursus.co.uk,(761) 872-6951,162,Employed,Cuurently in need of shelter,,Email,2017-12-21,Here
249,Christian Cook,Duis@urnaVivamus.edu,(559) 727-6521,140,Self-Employed,Own a home,FamilyContactHere,Phone Number,2018-10-16,Additional
220,Chastity Dale,gravida.molestie@egestas.edu,(581) 295-7846,155,Unemployed,Cuurently in need of shelter,FamilyContactHere,Social Media,2017-12-28,Info
229,Daniel Mcclain,eu.lacus.Quisque@Nullamsuscipit.net,(510) 119-1013,171,Self-Employed,Own a home,FamilyNameHere,Social Media,2017-01-18,Here
283,Roary Bonner,risus@laoreetposuereenim.co.uk,(112) 366-9806,176,Unemployed,Cuurently in need of shelter,FamilyNameHere,Phone Number,2018-03-04,Goes
205,Evelyn Wall,Donec.sollicitudin@loremauctor.ca,(879) 345-1103,185,Employed,Own a home,FamilyContactHere,Phone Number,2017-03-29,Additional
244,Cecilia Klein,faucibus.Morbi.vehicula@arcuVestibulumante.co.uk,(739) 324-9015,105,Employed,Own a home,FamilyContactHere,Email,2017-12-27,Goes
258,Hoyt Bailey,scelerisque.mollis.Phasellus@vitaealiquameros.co.uk,(440) 167-7135,129,Unemployed,Own a home,FamilyNameHere,Phone Number,2016-10-31,Goes
297,Kay Sweet,tellus@NullafacilisisSuspendisse.com,(329) 628-3276,123,Unemployed,Cuurently in need of shelter,FamilyContactHere,Phone Number,2017-11-20,Goes
211,Gisela Landry,eu@mipedenonummy.edu,(395) 159-2152,155,Unemployed,Own a home,FamilyNameHere,Phone Number,2017-09-15,Here
233,Hope Vaughan,Integer.urna.Vivamus@ipsumnuncid.com,(456) 951-5930,181,Unemployed,Own a home,FamilyNameHere,Social Media,2017-03-04,Additional
252,Pascale Guy,Cras@id.org,(387) 386-3658,185,Employed,Own a home,,Email,2018-08-14,Additional
251,Justin Fry,Vestibulum@ametmassa.co.uk,(257) 115-6214,149,Self-Employed,Own a home,FamilyNameHere,Phone Number,2018-04-17,Info
227,Whoopi Larsen,Nullam@sitamet.ca,(934) 640-3376,131,Employed,Cuurently in need of shelter,FamilyNameHere,Social Media,2018-03-28,Goes
236,Leonard Cunningham,sit.amet@diamvel.net,(155) 912-9079,171,Unemployed,Cuurently in need of shelter,,Social Media,2016-12-08,Goes
215,Melyssa Morris,odio.a@pedeCumsociis.ca,(533) 418-8525,104,Employed,Cuurently in need of shelter,FamilyNameHere,Social Media,2018-06-25,Info
205,Teagan Jackson,eget@estNuncullamcorper.net,(700) 738-7261,157,Employed,Cuurently in need of shelter,FamilyNameHere,Phone Number,2018-08-03,Info
228,Marny Cross,arcu.Vivamus.sit@Aliquam.ca,(992) 936-5002,176,Employed,Own a home,FamilyNameHere,Email,2018-05-29,Goes
262,Blair Holden,non.justo@feugiatplaceratvelit.edu,(432) 572-5111,195,Unemployed,Cuurently in need of shelter,FamilyNameHere,Email,2017-10-29,Additional
291,Micah Moore,non.lobortis@inconsequat.co.uk,(727) 119-6432,196,Employed,Cuurently in need of shelter,FamilyContactHere,Social Media,2017-02-05,Goes
250,India Snyder,sed@lectus.com,(271) 191-8450,101,Unemployed,Cuurently in need of shelter,,Phone Number,2018-08-24,Here
232,Bert House,odio.Etiam@Donec.edu,(848) 820-6195,195,Employed,Cuurently in need of shelter,FamilyNameHere,Phone Number,2018-04-30,Goes
257,Baker Tucker,vel.mauris.Integer@laoreetliberoet.ca,(325) 975-8468,157,Unemployed,Own a home,,Phone Number,2018-04-06,Goes
274,Barry Mcintyre,montes@bibendum.net,(948) 810-1987,164,Self-Employed,Own a home,FamilyNameHere,Phone Number,2018-08-06,Info
249,Barrett Graves,Duis@nonlacinia.com,(423) 275-2588,174,Unemployed,Own a home,FamilyNameHere,Email,2018-01-23,Additional
230,Nigel Miranda,Maecenas.malesuada@pellentesquemassa.com,(662) 706-6326,169,Employed,Own a home,FamilyContactHere,Social Media,2017-02-22,Additional
210,Fuller Alvarado,mauris.Suspendisse.aliquet@volutpatNulladignissim.net,(954) 848-8210,152,Employed,Own a home,FamilyContactHere,Social Media,2017-10-20,Here
244,Deanna Garrett,enim@vitae.com,(685) 403-5263,104,Self-Employed,Own a home,,Phone Number,2016-12-29,Here
213,Morgan Robertson,pharetra.sed.hendrerit@necurna.edu,(496) 655-2621,175,Employed,Own a home,FamilyNameHere,Email,2018-09-14,Additional
255,Imelda Myers,arcu.Morbi@et.com,(281) 245-4811,136,Employed,Own a home,FamilyNameHere,Email,2018-01-21,Here
222,Chester Mckee,eros.Nam.consequat@vitaesodalesat.org,(736) 693-0727,111,Unemployed,Cuurently in need of shelter,FamilyNameHere,Phone Number,2018-09-29,Here
233,Elliott Curry,lorem@accumsanlaoreet.edu,(735) 363-1123,122,Self-Employed,Own a home,,Social Media,2018-09-18,Info
295,Bruce Roberson,tempor.augue@vel.com,(861) 520-5176,200,Self-Employed,Own a home,,Social Media,2016-11-09,Info
292,Jorden Ortiz,ut@auctorvelitAliquam.edu,(121) 601-3795,151,Employed,Cuurently in need of shelter,FamilyNameHere,Social Media,2017-08-30,Goes
205,Brielle Holden,tristique@IncondimentumDonec.co.uk,(262) 518-4448,169,Employed,Cuurently in need of shelter,FamilyNameHere,Social Media,2017-07-01,Here
264,Natalie Dunn,Nulla.eu.neque@auguescelerisquemollis.com,(548) 619-1040,180,Self-Employed,Own a home,FamilyContactHere,Email,2017-05-24,Info
227,Quentin Wells,arcu.Sed.et@Namnullamagna.ca,(730) 924-5587,158,Unemployed,Own a home,FamilyNameHere,Email,2017-11-14,Additional
219,Hayfa Richard,ligula@dolor.ca,(177) 167-2122,183,Unemployed,Cuurently in need of shelter,FamilyNameHere,Email,2018-07-07,Goes
219,Jameson Cleveland,molestie@nonummyacfeugiat.co.uk,(711) 806-1774,174,Unemployed,Own a home,FamilyNameHere,Phone Number,2016-10-28,Goes
290,Keelie Joyce,a.purus.Duis@enimnon.com,(850) 445-5485,161,Unemployed,Cuurently in need of shelter,FamilyNameHere,Phone Number,2018-02-28,Here
273,Tatiana Scott,elit.pellentesque.a@sedliberoProin.net,(934) 288-2618,124,Employed,Cuurently in need of shelter,FamilyNameHere,Social Media,2018-01-20,Here
211,Vera Buck,libero.at@necante.net,(871) 970-6567,122,Unemployed,Own a home,FamilyContactHere,Phone Number,2018-02-08,Goes
210,Quemby Snider,non.quam.Pellentesque@erosturpisnon.edu,(395) 253-6135,178,Self-Employed,Own a home,FamilyContactHere,Phone Number,2017-12-23,Here
261,Abra Sherman,libero.Integer@imperdiet.net,(158) 451-5738,197,Employed,Cuurently in need of shelter,,Email,2018-06-28,Goes
240,Leonard Woods,vitae.diam.Proin@dis.co.uk,(934) 906-1767,152,Self-Employed,Own a home,FamilyContactHere,Phone Number,2017-03-17,Additional
225,Eugenia Knapp,dui@eu.com,(917) 533-4713,103,Employed,Cuurently in need of shelter,FamilyContactHere,Email,2017-10-25,Info
204,Ralph Hopper,sagittis.augue.eu@aliquet.co.uk,(731) 733-9527,108,Self-Employed,Cuurently in need of shelter,FamilyContactHere,Social Media,2017-11-15,Info
263,Judah Harrington,metus.urna@convallisin.com,(409) 745-0434,180,Unemployed,Cuurently in need of shelter,FamilyContactHere,Social Media,2018-01-11,Additional
210,Curran Mason,Donec.sollicitudin@purus.net,(186) 998-7997,130,Employed,Own a home,FamilyNameHere,Email,2017-04-07,Here
295,Salvador Morrow,penatibus.et@idmagnaet.edu,(268) 556-8784,172,Employed,Own a home,,Phone Number,2017-09-04,Goes
279,Kenyon Justice,Duis.mi@nullaDonecnon.com,(435) 358-6315,136,Unemployed,Cuurently in need of shelter,,Social Media,2018-06-24,Info
239,Phyllis Hernandez,Donec.nibh@cursusin.edu,(279) 113-5926,120,Unemployed,Own a home,,Email,2017-02-13,Info
262,Charity Fry,venenatis.a.magna@euturpis.com,(621) 834-9535,187,Unemployed,Cuurently in need of shelter,FamilyContactHere,Email,2018-01-30,Additional
274,Kaden Avery,dictum.ultricies@tortorNunccommodo.edu,(471) 519-4308,157,Unemployed,Own a home,FamilyContactHere,Phone Number,2017-05-17,Here
290,Calvin Koch,ipsum.Donec.sollicitudin@magnaaneque.ca,(220) 253-6889,144,Self-Employed,Own a home,FamilyNameHere,Social Media,2016-12-01,Additional
291,Garrison Hurley,dolor.elit@lobortis.co.uk,(668) 606-3907,105,Self-Employed,Own a home,FamilyContactHere,Phone Number,2017-04-18,Info
216,Vivian Baxter,dignissim@massa.ca,(373) 837-4968,145,Unemployed,Own a home,,Phone Number,2018-08-03,Goes
205,Jerry Guthrie,et.pede@dapibus.co.uk,(166) 300-9665,127,Employed,Cuurently in need of shelter,FamilyNameHere,Email,2018-03-01,Additional
275,Lillith Britt,lacus.Ut@a.org,(982) 420-2703,139,Employed,Own a home,,Social Media,2017-04-19,Info
203,Doris Merrill,nec.tempus.scelerisque@vehiculaaliquetlibero.com,(710) 318-5857,127,Self-Employed,Cuurently in need of shelter,FamilyContactHere,Email,2017-04-26,Goes
223,Beck Santos,urna.Ut@consequatlectussit.co.uk,(934) 651-2949,141,Unemployed,Own a home,FamilyNameHere,Phone Number,2017-09-29,Here
235,Yuri Buchanan,ullamcorper.magna.Sed@ut.co.uk,(269) 403-7177,173,Unemployed,Cuurently in need of shelter,FamilyContactHere,Email,2016-11-09,Goes
276,Breanna Serrano,erat@scelerisque.edu,(930) 867-4524,160,Employed,Own a home,FamilyContactHere,Social Media,2016-11-26,Additional
210,TaShya Goodwin,gravida.Aliquam.tincidunt@Duisami.net,(589) 580-2368,191,Self-Employed,Own a home,,Social Media,2017-02-20,Additional
206,Alexis Conley,dignissim@Inornaresagittis.net,(870) 465-0598,195,Self-Employed,Cuurently in need of shelter,FamilyNameHere,Phone Number,2017-12-26,Goes
209,Germane Stephens,aliquet.odio.Etiam@eget.co.uk,(960) 165-1924,152,Employed,Cuurently in need of shelter,,Email,2018-07-10,Here
281,Indigo Farmer,amet@sagittis.ca,(326) 448-5984,144,Employed,Cuurently in need of shelter,,Email,2018-02-28,Info
271,Kasimir Atkins,Maecenas.iaculis.aliquet@Nullam.net,(213) 847-7760,182,Unemployed,Own a home,FamilyNameHere,Social Media,2018-05-14,Additional
284,Richard Morgan,Duis.ac.arcu@acmattissemper.net,(318) 952-9513,197,Self-Employed,Cuurently in need of shelter,FamilyNameHere,Social Media,2017-06-22,Additional
238,Chastity Goodman,eu@in.com,(498) 887-7763,149,Unemployed,Cuurently in need of shelter,,Social Media,2018-03-14,Info
244,Thor Solis,dis.parturient.montes@justoPraesentluctus.edu,(493) 416-4430,190,Unemployed,Own a home,FamilyContactHere,Phone Number,2017-05-16,Goes
214,Guy Oliver,imperdiet.ullamcorper@lobortisauguescelerisque.ca,(208) 460-0006,167,Employed,Own a home,FamilyContactHere,Phone Number,2017-06-22,Info
291,Jocelyn Parker,lobortis.quis.pede@enim.edu,(130) 480-3751,107,Self-Employed,Own a home,FamilyContactHere,Email,2017-06-28,Goes
278,Danielle Mann,arcu.Sed@Loremipsumdolor.org,(174) 143-2981,173,Self-Employed,Cuurently in need of shelter,FamilyNameHere,Phone Number,2017-11-13,Info
296,Wade Pugh,ridiculus.mus@Maecenas.ca,(167) 866-1934,193,Self-Employed,Own a home,FamilyContactHere,Phone Number,2016-12-28,Goes
242,Judah Buckner,augue@Sed.net,(646) 214-7352,170,Self-Employed,Own a home,FamilyNameHere,Phone Number,2018-05-16,Here
224,Jermaine Hampton,rutrum.Fusce.dolor@asollicitudinorci.co.uk,(410) 820-1573,188,Employed,Own a home,FamilyNameHere,Social Media,2017-11-14,Here
214,Phoebe Rowland,ante.Nunc.mauris@faucibuslectusa.ca,(851) 547-5422,106,Employed,Own a home,FamilyContactHere,Phone Number,2017-01-08,Additional
214,Joseph Adkins,Mauris@dolordapibusgravida.co.uk,(133) 189-7877,115,Self-Employed,Cuurently in need of shelter,,Phone Number,2017-05-16,Additional
291,Vivien Dorsey,at.risus@commodoauctor.com,(142) 632-0406,172,Employed,Own a home,FamilyContactHere,Social Media,2017-06-14,Here
286,Richard Goodman,scelerisque@nonummyac.org,(434) 534-8690,196,Employed,Cuurently in need of shelter,FamilyNameHere,Email,2017-02-19,Info
258,Carissa Bryan,egestas.lacinia.Sed@Nuncquis.ca,(804) 127-0097,140,Unemployed,Own a home,FamilyContactHere,Phone Number,2017-08-27,Additional
224,Regina Holt,enim.sit.amet@iaculis.edu,(291) 890-9210,127,Self-Employed,Own a home,FamilyNameHere,Email,2018-06-12,Here
244,Unity Sargent,Mauris.vestibulum@malesuadaaugueut.edu,(479) 447-8314,192,Employed,Own a home,FamilyNameHere,Phone Number,2018-09-14,Info
260,Leroy Terry,libero.lacus@sed.edu,(192) 662-2920,200,Self-Employed,Own a home,FamilyNameHere,Social Media,2017-10-01,Info
256,Gavin Byers,Donec.tincidunt@fermentum.ca,(365) 348-2874,173,Unemployed,Own a home,FamilyContactHere,Email,2016-11-16,Goes
240,Yardley Jacobson,lectus.a@ipsum.ca,(272) 398-7568,189,Unemployed,Cuurently in need of shelter,,Email,2018-05-14,Additional
277,Theodore Barton,iaculis.lacus.pede@veliteget.net,(728) 350-9714,198,Self-Employed,Cuurently in need of shelter,,Email,2017-09-16,Info
280,Brenden Graves,fermentum.metus@Sednunc.edu,(469) 164-5530,151,Employed,Cuurently in need of shelter,FamilyNameHere,Email,2017-03-23,Goes
